# Clip 5 word-timing table | src window 1120-1300s | comp = src - 1120
# format: comp_t  src_t  word
   0.20   1120.20   a
   0.28   1120.28   lot
   0.46   1120.46   of
   0.64   1120.64   there.
   1.34   1121.34   There
   1.72   1121.72   has
   1.92   1121.92   been
   2.08   1122.08   a
   2.22   1122.22   lot
   2.32   1122.32   of
   2.46   1122.46   pain
   2.66   1122.66   in
   2.80   1122.80   the
   2.88   1122.88   market.
   3.20   1123.20   And
   3.84   1123.84   as
   4.06   1124.06   a
   4.16   1124.16   result,
   5.34   1125.34   I
   5.36   1125.36   think
   5.56   1125.56   retail,
   7.28   1127.28   yes,
   8.34   1128.34   one
   8.48   1128.48   abruptly,
   9.20   1129.20   but
   9.36   1129.36   secondly,
  10.08   1130.08   over
  10.14   1130.14   the
  10.30   1130.30   next
  10.62   1130.62   few
  11.04   1131.04   months,
  11.66   1131.66   like
  11.80   1131.80   November,
  12.26   1132.26   December,
  12.68   1132.68   January,
  13.08   1133.08   February,
  13.68   1133.68   as
  14.10   1134.10   price
  14.34   1134.34   activity
  14.84   1134.84   dwindled,
  15.84   1135.84   pivoted
  16.36   1136.36   very
  17.10   1137.10   aggressively
  17.64   1137.64   into
  18.08   1138.08   equity,
  18.76   1138.76   which
  19.46   1139.46   is
  19.60   1139.60   what
  19.76   1139.76   we
  19.92   1139.92   are
  20.06   1140.06   seeing
  20.32   1140.32   today,
  20.82   1140.82   right?
  21.06   1141.06   It's
  21.10   1141.10   like
  21.30   1141.30   equity
  22.70   1142.70   is
  22.92   1142.92   displaying
  23.38   1143.38   some
  24.06   1144.06   features
  24.46   1144.46   which
  24.82   1144.82   we
  25.08   1145.08   would
  25.36   1145.36   normally
  25.82   1145.82   attribute
  26.22   1146.22   to
  26.48   1146.48   like
  26.78   1146.78   meme
  27.42   1147.42   coin
  27.64   1147.64   and
  27.80   1147.80   altcoin
  28.14   1148.14   season
  28.54   1148.54   is
  29.16   1149.16   now
  29.34   1149.34   happening
  29.70   1149.70   into
  29.94   1149.94   the
  30.12   1150.12   equities.
  30.42   1150.42   And
  30.64   1150.64   I
  31.14   1151.14   think
  31.28   1151.28   that
  31.54   1151.54   already
  31.90   1151.90   on
  32.16   1152.16   itself
  32.52   1152.52   is
  32.76   1152.76   empirical
  33.22   1153.22   evidence
  33.76   1153.76   that
  34.02   1154.02   retail
  34.34   1154.34   is
  34.52   1154.52   there.
  34.92   1154.92   But
  35.34   1155.34   also
  35.54   1155.54   if
  35.72   1155.72   you
  35.78   1155.78   look
  35.94   1155.94   at
  36.10   1156.10   like
  36.38   1156.38   JP
  37.30   1157.30   Morgan,
  37.74   1157.74   for
  37.80   1157.80   example,
  38.24   1158.24   their
  38.30   1158.30   prime
  38.54   1158.54   brokerage
  39.18   1159.18   desk
  39.50   1159.50   publishes
  40.22   1160.22   data
  40.52   1160.52   on
  40.92   1160.92   the
  41.54   1161.54   retail
  41.84   1161.84   activity
  42.28   1162.28   they
  42.46   1162.46   see,
  42.90   1162.90   and
  42.96   1162.96   then
  43.10   1163.10   that
  43.38   1163.38   is
  43.54   1163.54   at
  43.72   1163.72   an
  43.84   1163.84   all
  44.04   1164.04   time
  44.16   1164.16   high
  44.48   1164.48   by
  44.72   1164.72   a
  44.88   1164.88   meaningful
  45.08   1165.08   margin.
  45.84   1165.84   So
  46.00   1166.00   yeah,
  47.20   1167.20   retail
  47.46   1167.46   moved
  47.74   1167.74   into
  48.04   1168.04   into
  48.34   1168.34   equities
  48.80   1168.80   at
  48.98   1168.98   the
  49.30   1169.30   moment.
  50.14   1170.14   Yeah,
  50.74   1170.74   that
  50.98   1170.98   was
  51.14   1171.14   about
  51.30   1171.30   to
  51.44   1171.44   be
  51.60   1171.60   one
  51.84   1171.84   of
  51.96   1171.96   my
  52.16   1172.16   next
  52.48   1172.48   points.
  53.26   1173.26   So
  53.34   1173.34   for
  53.54   1173.54   those
  53.78   1173.78   who
  53.92   1173.92   don't
  54.08   1174.08   know,
  54.46   1174.46   Jasper
  54.78   1174.78   is
  54.96   1174.96   also
